,iauname,ra,dec,ep_5_flux,ep_5_flux_err,ep_9_flux,ep_8_flux
0,4XMM J174450.3-284935,266.21115290594,-28.825310972022,1.0465816e-10,5.613039e-12,6.568416e-13,1.1675814e-10
1,4XMM J110811.9-191934,167.04980122976,-19.326190080481,1.3269429e-10,2.672691e-11,7.235021e-13,1.3689644e-10
2,4XMM J122419.2+582133,186.08036736087,58.359172986817,1.0227097e-10,6.2340333e-12,1.6070969e-12,1.1401182e-10
3,4XMM J163201.7-475228,248.00732806565,-47.874730527809,1.0076071e-10,4.8814425e-13,2.544026e-12,1.0601182e-10
4,4XMM J163201.7-475228,248.00730943307,-47.874745997989,1.1704461e-10,6.910622e-13,2.7913416e-12,1.2262687e-10
5,4XMM J155526.7+350827,238.86129844308,35.141027119911,1.3406756e-10,2.152219e-11,2.8085368e-12,1.3883947e-10
6,4XMM J163201.7-475228,248.00733727017,-47.874689830729,1.4935338e-10,3.886336e-13,3.1277973e-12,1.5589717e-10
7,4XMM J181432.7-170928,273.63730891315,-17.156658840773,1.7780037e-10,3.2734462e-12,3.172881e-12,2.6722272e-10
8,4XMM J203241.6+410433,308.17373012471,41.076104071625,1.3774523e-10,5.1971023e-12,3.3318888e-12,1.7219871e-10
9,4XMM J182327.0+743826,275.86287771623,74.640811025779,1.0824758e-10,7.343635e-12,3.6763184e-12,1.1850863e-10
10,4XMM J174621.0-284343,266.58673534711,-28.728894091666,1.1599517e-10,4.725645e-13,4.1625683e-12,1.2468505e-10
11,4XMM J174621.0-284343,266.58790558551,-28.728754364688,1.2494378e-10,2.4581127e-13,4.252388e-12,1.3392326e-10
12,4XMM J174621.0-284343,266.58798647297,-28.728263018331,1.145226e-10,8.475587e-13,4.318612e-12,1.2337949e-10
13,4XMM J174621.0-284343,266.58804434487,-28.729067908348,2.469415e-10,1.1561136e-12,4.321731e-12,2.590135e-10
14,4XMM J122511.8+581448,186.29929784115,58.246938652518,1.3678289e-10,9.9533125e-12,4.3233047e-12,1.479729e-10
15,4XMM J174621.0-284343,266.5879374981,-28.728672518477,1.2689076e-10,7.3774835e-13,4.4602134e-12,1.3619068e-10
16,4XMM J174621.0-284343,266.58791794417,-28.728879273276,1.3862086e-10,8.9934375e-13,4.563122e-12,1.4821608e-10
17,4XMM J174621.0-284343,266.58742475615,-28.728626806323,1.2975199e-10,3.5344479e-13,4.5764694e-12,1.3941702e-10
18,4XMM J174502.4-284929,266.26003119492,-28.824196881917,1.4231069e-10,1.6241843e-12,4.6466364e-12,1.5943928e-10
19,4XMM J170356.7-375038,255.98660933414,-37.84416218868,1.4765543e-10,5.842386e-13,4.7183754e-12,1.5460412e-10
20,4XMM J174621.0-284343,266.58767094178,-28.728726485865,1.255675e-10,7.6319045e-13,4.730268e-12,1.3534539e-10
21,4XMM J174621.0-284343,266.58789601664,-28.728554468309,1.0702565e-10,1.6091425e-13,4.8840545e-12,1.1735418e-10
22,4XMM J174621.0-284343,266.58784158504,-28.72847655703,1.3983863e-10,7.6063293e-13,4.96048e-12,1.5009284e-10
23,4XMM J174621.0-284343,266.58777406675,-28.728555705524,1.2199593e-10,7.717591e-13,5.0447654e-12,1.323391e-10
24,4XMM J174621.0-284343,266.58773458504,-28.728882979573,1.4770446e-10,3.9052138e-13,5.1155647e-12,1.581409e-10
25,4XMM J174621.0-284343,266.58763823965,-28.728703875799,1.778413e-10,4.0954485e-13,5.651411e-12,1.8973748e-10
26,4XMM J174535.3-290140,266.39779511078,-29.026129103021,1.1937455e-10,3.4578647e-13,5.722976e-12,1.3574881e-10
27,4XMM J191511.5+105644,288.7981456892,10.945805625442,1.0479805e-10,3.0542937e-13,5.9935355e-12,1.1536125e-10
28,4XMM J174535.3-290140,266.3986690102,-29.026111955213,1.0375738e-10,3.6147054e-13,6.074116e-12,1.1640924e-10
29,4XMM J165814.2-424140,254.55941226473,-42.694479813882,1.4311342e-10,9.130626e-13,6.1387197e-12,1.7594876e-10
30,4XMM J174535.3-290140,266.39858848753,-29.026056982176,1.0477241e-10,1.7602575e-13,6.5299836e-12,1.185725e-10
31,4XMM J162802.4-491143,247.01039400134,-49.195527506523,1.2286763e-10,1.4878825e-12,6.634511e-12,1.376022e-10
32,4XMM J174535.6-290133,266.39856492979,-29.026019358759,1.133087e-10,1.3975132e-13,6.6749115e-12,1.2711049e-10
33,4XMM J174535.6-290133,266.39848195099,-29.025813249111,1.3998011e-10,1.5138372e-13,7.1526587e-12,1.5521434e-10
34,4XMM J174535.6-290133,266.39839111014,-29.026092709531,1.2707296e-10,5.950521e-13,7.1888845e-12,1.4188407e-10
35,4XMM J182944.0-095124,277.43335105255,-9.8568012750198,1.1003447e-10,4.0623997e-12,7.383472e-12,1.232073e-10
36,4XMM J174535.6-290133,266.39843754956,-29.026037750907,1.327572e-10,1.8051515e-13,7.386121e-12,1.4792104e-10
37,4XMM J174354.8-294443,265.97850264055,-29.745272588912,1.4713852e-10,1.6368441e-13,7.641039e-12,1.6484272e-10
38,4XMM J174535.6-290133,266.3985871473,-29.026034174123,1.3194186e-10,1.5888242e-13,7.75656e-12,1.480906e-10
39,4XMM J174535.3-290140,266.39857029204,-29.026133361095,1.5045439e-10,2.5243926e-13,8.249692e-12,1.6780005e-10
40,4XMM J174535.3-290140,266.39855841278,-29.026107597062,1.434157e-10,2.0853057e-13,8.388175e-12,1.61246e-10
41,4XMM J174535.3-290140,266.39854092062,-29.025925421766,1.4465965e-10,2.9255182e-13,8.4453946e-12,1.6209575e-10
42,4XMM J174535.3-290140,266.39873452,-29.026136094294,1.6618962e-10,3.2138195e-13,9.644436e-12,1.8619839e-10
43,4XMM J174535.3-290140,266.39818843679,-29.026382171227,2.3711733e-10,8.878612e-13,9.675753e-12,2.5542013e-10
44,4XMM J121032.5+392421,182.63569475331,39.40588768617,1.2145725e-10,2.4167498e-13,9.788878e-12,1.3627237e-10
45,4XMM J174354.8-294443,265.97794739669,-29.745877513488,2.2394019e-10,1.0903278e-12,9.817407e-12,2.4606336e-10
46,4XMM J174535.3-290140,266.3985067978,-29.026076135999,1.897892e-10,3.1584178e-13,9.888398e-12,2.1041711e-10
47,4XMM J121032.5+392421,182.63569358355,39.405873660535,1.0670612e-10,1.9547113e-13,1.018023e-11,1.2174214e-10
48,4XMM J121032.5+392421,182.63570583628,39.405878018523,1.2870743e-10,2.43676e-13,1.0576757e-11,1.4472218e-10
49,4XMM J164612.6-452138,251.5527963492,-45.360581912838,1.028222e-10,9.141911e-12,1.1074543e-11,1.2094307e-10
50,4XMM J174535.6-290133,266.39836904042,-29.026092134617,3.036492e-10,4.1936097e-13,1.1458937e-11,3.2763234e-10
51,4XMM J174354.8-294443,265.97861081823,-29.745280597818,2.8514602e-10,7.408777e-13,1.188136e-11,3.0984895e-10
52,4XMM J164622.5-454113,251.5941098048,-45.686580896711,1.0322165e-10,2.9392478e-12,1.2258024e-11,1.2356098e-10
53,4XMM J174354.8-294443,265.97843819009,-29.746137292745,2.3325264e-10,7.5715546e-13,1.2394223e-11,2.5904814e-10
54,4XMM J174354.8-294443,265.97826180279,-29.745225157036,2.9191602e-10,8.9476094e-13,1.2460224e-11,3.177608e-10
55,4XMM J180112.5-250431,270.30228180994,-25.075467171946,1.0966075e-10,3.1134912e-12,1.2504104e-11,1.2972401e-10
56,4XMM J181431.0-170942,273.62908058132,-17.161765107126,1.0217876e-10,8.388001e-13,1.2536488e-11,1.1500159e-10
57,4XMM J132527.6-430108,201.36513058984,-43.019074515352,1.1197802e-10,2.6947444e-13,1.2545203e-11,1.3562691e-10
58,4XMM J132527.6-430108,201.3651796456,-43.019073602346,1.1687634e-10,3.831573e-13,1.2684434e-11,1.4030795e-10
59,4XMM J130158.7-635808,195.49485596295,-63.969730873086,1.2721015e-10,2.4745156e-12,1.2902524e-11,1.4863241e-10
60,4XMM J130158.7-635808,195.49339402064,-63.96915945708,1.2376863e-10,1.7360484e-12,1.3152418e-11,1.4578717e-10
61,4XMM J203238.8+410418,308.16357653384,41.071951317466,1.65068e-10,8.1432075e-12,1.3947727e-11,2.0472592e-10
62,4XMM J011802.6+651731,19.511152901562,65.291955950658,1.0473031e-10,1.9255505e-13,1.4162068e-11,1.3089267e-10
63,4XMM J132527.6-430108,201.36517933958,-43.019061741189,1.42902e-10,3.2321783e-13,1.4489437e-11,1.7002709e-10
64,4XMM J174354.8-294443,265.97864572031,-29.745218579197,2.2267914e-10,5.314143e-13,1.4860283e-11,2.5718758e-10
65,4XMM J121032.5+392421,182.63565295892,39.405791264285,1.1557278e-10,6.8987025e-13,1.5006574e-11,1.4004306e-10
66,4XMM J170356.5-375035,255.98567052233,-37.843142290143,2.6736321e-10,2.0231995e-12,1.55181e-11,2.9133515e-10
67,4XMM J033112.0+435415,52.800065385259,43.904305016264,1.3344736e-10,5.2423e-13,1.5573407e-11,1.6059655e-10
68,4XMM J174702.5-285259,266.76068137045,-28.883333740438,2.1653274e-10,1.5125139e-12,1.6132226e-11,2.5022417e-10
69,4XMM J090206.9-403316,135.52869374654,-40.554540849839,4.5490053e-10,3.6540988e-13,1.6332059e-11,4.8575916e-10
70,4XMM J170355.9-375035,255.98306990003,-37.843312758162,1.0047219e-10,1.1795047e-12,1.6471746e-11,1.3341583e-10
71,4XMM J121032.5+392421,182.63610723394,39.405791029429,1.0714069e-10,5.59008e-13,1.6590241e-11,1.3482844e-10
72,4XMM J114728.5-615713,176.8690220375,-61.953731681165,1.3214106e-10,4.95226e-13,1.661089e-11,1.6090075e-10
73,4XMM J174601.3-293041,266.50591627873,-29.512177360318,1.0793879e-10,6.9722956e-12,1.6734426e-11,1.5638311e-10
74,4XMM J174354.8-294443,265.97915140556,-29.745142312762,2.7717043e-10,9.421689e-13,1.6785006e-11,3.1491296e-10
75,4XMM J132527.6-430108,201.36496168877,-43.019136622998,1.6948964e-10,3.6589357e-13,1.6795768e-11,2.0205808e-10
76,4XMM J121032.5+392421,182.63587340126,39.405413766093,1.4556774e-10,5.480429e-13,1.7134889e-11,1.747564e-10
77,4XMM J164547.0-453650,251.4461450871,-45.613944131631,1.3284636e-10,1.9196454e-12,1.756714e-11,1.679496e-10
78,4XMM J112115.0-603725,170.31282552041,-60.623800881046,1.8683702e-10,7.333598e-14,1.7933667e-11,2.2405627e-10
79,4XMM J121032.5+392421,182.63571193388,39.405868342967,1.3476982e-10,4.7375173e-13,1.920662e-11,1.6825706e-10
80,4XMM J104503.5-594104,161.26614710433,-59.684782700502,1.0688099e-10,2.5508e-13,1.9295983e-11,1.3873092e-10
81,4XMM J181227.1-181231,273.11301942537,-18.208661588923,1.6632787e-10,7.0576158e-12,2.0135605e-11,2.0280623e-10
82,4XMM J104503.5-594104,161.26561603758,-59.684659333976,1.6366204e-10,2.788452e-13,2.085023e-11,1.9911389e-10
83,4XMM J170356.5-375035,255.98581577419,-37.842870614609,1.7921123e-10,1.5631118e-12,2.103581e-11,2.1128456e-10
84,4XMM J175657.3-250627,269.23911814223,-25.107570309275,1.2325527e-10,3.6680863e-13,2.1808522e-11,1.6162338e-10
85,4XMM J180128.1-250334,270.36721031898,-25.059552083248,1.7292416e-10,8.319534e-12,2.2173771e-11,2.1024225e-10
86,4XMM J174937.9-282118,267.40784070776,-28.355103360313,2.2364612e-10,9.49733e-13,2.2498337e-11,2.9134065e-10
87,4XMM J174605.3-293054,266.52123179955,-29.515410066187,3.1736166e-10,1.9416309e-12,2.3233736e-11,3.6591585e-10
88,4XMM J121032.5+392421,182.63566686976,39.405891934193,1.3279867e-10,4.787698e-13,2.3611928e-11,1.7383114e-10
89,4XMM J121032.5+392421,182.6356839053,39.405883328585,1.3726861e-10,5.31781e-13,2.3879945e-11,1.7888212e-10
90,4XMM J174725.8-300001,266.85776206156,-30.000502749615,1.256066e-10,2.186399e-13,2.5518369e-11,1.695306e-10
91,4XMM J174605.3-293054,266.52191971929,-29.515413575663,3.446469e-10,1.7372254e-12,2.5844693e-11,3.9773312e-10
92,4XMM J104503.5-594104,161.26453118014,-59.684438633089,1.0229373e-10,4.825816e-13,2.6530627e-11,1.4596967e-10
93,4XMM J132527.6-430108,201.36517827584,-43.019188822667,2.5700067e-10,6.3055187e-13,2.6734098e-11,3.0689556e-10
94,4XMM J104503.5-594104,161.26468127523,-59.684500214618,1.0256888e-10,4.836537e-13,2.6984597e-11,1.46685e-10
95,4XMM J104503.5-594104,161.26484761881,-59.684477470154,1.0288686e-10,4.886387e-13,2.7154024e-11,1.4725869e-10
96,4XMM J104503.5-594104,161.26450011556,-59.684499771236,1.0062845e-10,4.767538e-13,2.716113e-11,1.4531658e-10
97,4XMM J104503.5-594104,161.26480518051,-59.684597927797,1.0161999e-10,4.3888894e-13,2.7410275e-11,1.4665096e-10
98,4XMM J132637.0-620808,201.6545857665,-62.135822078526,1.1012574e-10,3.9035507e-13,2.8819544e-11,1.5738845e-10
99,4XMM J174605.3-293054,266.52325387596,-29.515136415387,2.2100007e-10,3.8341986e-12,3.0831785e-11,2.8689773e-10
100,4XMM J165749.8+352030,254.45820783866,35.34251205518,1.1753191e-10,1.0363355e-12,3.0916283e-11,1.5539166e-10
101,4XMM J121032.5+392421,182.63589968163,39.405894684755,1.8313634e-10,4.958564e-13,3.2188967e-11,2.4104022e-10
102,4XMM J174506.7-302243,266.27814366037,-30.378817121714,1.0835622e-10,3.4107306e-13,3.2413527e-11,1.6582118e-10
103,4XMM J174540.3-290024,266.41883861028,-29.004585824862,1.442322e-10,2.9840502e-13,3.315941e-11,2.4619246e-10
104,4XMM J174725.8-300001,266.85782402897,-30.000943315472,1.5360824e-10,4.77005e-13,3.3215052e-11,2.0602006e-10
105,4XMM J132527.6-430108,201.36493834772,-43.018704440757,3.3422928e-10,7.3402807e-13,3.3776856e-11,4.0014694e-10
106,4XMM J203215.2+373815,308.06363131779,37.637519024732,2.0245552e-10,4.5994626e-13,3.409812e-11,2.600679e-10
107,4XMM J175902.8-234308,269.76170176115,-23.719021980261,1.1550908e-10,4.8901464e-13,3.4111925e-11,1.7011001e-10
108,4XMM J005912.5-713844,14.802373009649,-71.645662234876,1.1242617e-10,3.7307708e-13,3.4358832e-11,1.6162316e-10
109,4XMM J121032.5+392421,182.63568846277,39.405864969448,1.834063e-10,4.2631686e-13,3.4454283e-11,2.4315927e-10
110,4XMM J132637.0-620808,201.6541423906,-62.135666626628,2.3066431e-10,8.8929656e-13,3.4743715e-11,3.140149e-10
111,4XMM J162804.4-491204,247.01853254704,-49.201139959852,1.9583522e-10,6.0746772e-12,3.6604813e-11,2.5303046e-10
112,4XMM J180132.2-204142,270.38456191741,-20.695050409633,1.2731706e-10,1.4924225e-12,3.8743522e-11,1.8143655e-10
113,4XMM J074833.7-674507,117.14104447674,-67.752243488615,1.0962874e-10,2.1793754e-13,3.9080142e-11,1.641025e-10
114,4XMM J104503.5-594104,161.26500483564,-59.684565114925,1.4455037e-10,4.3148506e-13,3.9470826e-11,2.0754969e-10
115,4XMM J005138.7-721704,12.911514597852,-72.284571909893,1.36624e-10,3.997103e-13,3.9959043e-11,2.1522117e-10
116,4XMM J165816.4-424150,254.56853725302,-42.697496448804,1.3801132e-10,2.7033328e-12,4.0600034e-11,2.2524643e-10
117,4XMM J175945.5-220139,269.9397291639,-22.027635558099,1.6838624e-10,7.5451597e-13,4.070301e-11,2.4480476e-10
118,4XMM J190938.0+094947,287.4084192181,9.8299536806263,2.1811879e-10,1.0673252e-12,4.0929832e-11,2.854551e-10
119,4XMM J162803.4-491149,247.01444114971,-49.197004323661,2.1605068e-10,5.978441e-12,4.196918e-11,2.8793198e-10
120,4XMM J191149.5+045857,287.95684943256,4.9830232036692,1.4873883e-10,7.027982e-13,4.318776e-11,2.1498589e-10
121,4XMM J191149.5+045857,287.95639343569,4.9827029165294,1.6542603e-10,4.4425257e-13,4.3434888e-11,2.3097847e-10
122,4XMM J181431.5-170847,273.63164877985,-17.146508392613,2.3708333e-10,2.2964996e-12,4.361877e-11,3.300735e-10
123,4XMM J174605.3-293054,266.52246809092,-29.515267552756,4.695087e-10,2.1707844e-12,4.4073793e-11,5.594333e-10
124,4XMM J181227.9-181235,273.11653052952,-18.209772773268,6.4962424e-10,2.5782967e-12,4.4656952e-11,7.37379e-10
125,4XMM J162802.7-491149,247.01139501458,-49.197111482024,2.6102226e-10,4.913005e-12,4.5449523e-11,3.4556039e-10
126,4XMM J162802.9-491157,247.01223319375,-49.199329883586,3.048602e-10,2.298283e-12,4.6010414e-11,3.8886538e-10
127,4XMM J121032.5+392421,182.63576802185,39.405742350299,2.2544763e-10,3.9079167e-13,4.608942e-11,3.0475825e-10
128,4XMM J191149.5+045857,287.95644437168,4.9824663929211,1.4447984e-10,5.1382314e-13,4.6245376e-11,2.1123187e-10
129,4XMM J191149.5+045857,287.95652021526,4.9828200764795,1.5043487e-10,7.545713e-13,4.6513807e-11,2.2111364e-10
130,4XMM J174937.9-282118,267.40827634868,-28.355008886656,2.3897542e-10,9.288404e-13,4.7418625e-11,3.1267317e-10
131,4XMM J220756.2+543106,331.98418890296,54.518425446615,1.8548828e-10,2.430307e-13,4.7682375e-11,2.669293e-10
132,4XMM J053426.9+221625,83.612233006085,22.273614850826,1.0756131e-10,1.0718912e-11,4.8128418e-11,1.6009946e-10
133,4XMM J191149.5+045857,287.95672515597,4.9829168774529,1.7441945e-10,5.809764e-13,4.8418346e-11,2.447512e-10
134,4XMM J181430.2-170906,273.62598387296,-17.150202389003,1.481802e-10,3.0872264e-12,4.8574023e-11,2.2596047e-10
135,4XMM J174805.1-244646,267.02155295142,-24.779537880106,4.042261e-10,8.147235e-13,4.924244e-11,5.604778e-10
136,4XMM J074833.7-674507,117.14070021641,-67.752188804141,1.0934528e-10,2.0217424e-13,5.1862212e-11,1.8094824e-10
137,4XMM J170356.7-375038,255.98660779282,-37.844146794618,8.707899e-10,1.6151105e-12,5.2272024e-11,9.577209e-10
138,4XMM J074833.7-674507,117.1406054319,-67.752145889963,1.1400429e-10,1.2234984e-13,5.3400166e-11,1.8225244e-10
139,4XMM J173857.4-442710,264.73957756505,-44.452815523083,1.0613542e-10,8.7613364e-13,5.4238978e-11,1.9078032e-10
140,4XMM J052029.9-693155,80.126542888332,-69.531796993514,2.2580088e-10,1.7801325e-12,5.5070594e-11,3.4009245e-10
141,4XMM J163216.7-672740,248.0697281519,-67.461188262141,1.1289885e-10,3.7708983e-13,5.608372e-11,1.8045072e-10
142,4XMM J053938.8-694435,84.910411160634,-69.743168096876,1.1245811e-10,4.97736e-13,5.7074588e-11,3.24146e-10
143,4XMM J074833.7-674507,117.14032401643,-67.752303005752,1.1291398e-10,2.303604e-13,5.780982e-11,1.9001724e-10
144,4XMM J170634.5+235818,256.6438180913,23.97182694776,1.0227895e-10,4.2598794e-13,6.0411405e-11,1.814774e-10
145,4XMM J174605.3-293054,266.52100184695,-29.514740678446,6.114786e-10,2.9781813e-12,6.259299e-11,7.3874434e-10
146,4XMM J182341.9-302114,275.92482904294,-30.354117907923,1.0119068e-10,1.2507736e-12,6.2593764e-11,1.7447524e-10
147,4XMM J005433.1-734100,13.636901927196,-73.683801009257,2.0403233e-10,3.4488227e-13,6.328089e-11,2.9299457e-10
148,4XMM J005433.1-734100,13.639755029302,-73.683510582289,1.9869016e-10,1.4815292e-12,6.3353454e-11,2.79668e-10
149,4XMM J053249.4-662212,83.206785946984,-66.370123197353,1.1466919e-10,3.634649e-13,6.733581e-11,1.9792218e-10
150,4XMM J162802.8-491154,247.01176463185,-49.198539051441,5.6783617e-10,1.3389139e-12,6.8148515e-11,6.902429e-10
151,4XMM J162802.8-491154,247.01205454715,-49.198123509423,6.123203e-10,1.3350177e-12,7.003829e-11,7.380888e-10
152,4XMM J162802.8-491154,247.0118119981,-49.198399258706,5.383769e-10,1.1757285e-12,7.007513e-11,6.641787e-10
153,4XMM J074833.7-674507,117.14082064929,-67.752243023195,1.1289704e-10,1.7482356e-13,7.0474994e-11,1.9319257e-10
154,4XMM J074833.7-674507,117.14189924072,-67.751943356611,1.2454977e-10,2.0494274e-13,7.1599206e-11,2.101032e-10
155,4XMM J181431.5-170859,273.63103538105,-17.148782243947,2.0439976e-10,1.2055538e-12,7.229163e-11,3.1892503e-10
156,4XMM J170356.7-375038,255.98635357326,-37.844017432855,6.291571e-10,1.2879653e-12,7.332956e-11,7.490816e-10
157,4XMM J175108.5-305740,267.78572480459,-30.961373230405,2.1781024e-10,5.0582704e-13,7.3379684e-11,3.4875758e-10
158,4XMM J054134.1-682548,85.393259111467,-68.43006037559,2.225785e-10,2.1745778e-12,7.3751276e-11,3.125596e-10
159,4XMM J174605.1-293053,266.52128212463,-29.514928135356,8.2113266e-10,2.8900046e-12,7.450516e-11,9.743899e-10
160,4XMM J074833.7-674507,117.14061175918,-67.751998059836,1.1970935e-10,1.7969456e-13,7.64767e-11,2.1631343e-10
161,4XMM J162802.8-491154,247.01156514244,-49.198463829437,7.482541e-10,3.794749e-13,7.78378e-11,9.117025e-10
162,4XMM J162802.8-491154,247.01160702914,-49.199623494981,8.617716e-10,2.6005435e-12,8.030273e-11,9.920594e-10
163,4XMM J053249.4-662212,83.207073762792,-66.370207347144,1.39847e-10,1.4205842e-13,8.133649e-11,2.403462e-10
164,4XMM J174605.3-293054,266.52149584127,-29.515052263736,9.938735e-10,2.073488e-12,8.220765e-11,1.1694331e-09
165,4XMM J180129.8-203114,270.37437798125,-20.520611526667,2.7533023e-10,3.4631482e-12,8.293923e-11,4.4996334e-10
166,4XMM J181431.5-170859,273.63053357595,-17.148662110168,3.4447334e-10,2.389242e-12,8.7331586e-11,4.8544524e-10
167,4XMM J181432.7-170928,273.63747016667,-17.159187118884,2.805115e-10,1.6755168e-12,8.7333564e-11,4.1265566e-10
168,4XMM J162802.8-491154,247.01187498637,-49.198409390445,6.5356603e-10,6.409808e-13,8.769042e-11,8.1834556e-10
169,4XMM J171137.2-380705,257.90514889072,-38.118240628296,3.5343004e-10,1.1858408e-12,8.800611e-11,5.0543203e-10
170,4XMM J162802.8-491154,247.01174715087,-49.198530551392,7.3057915e-10,1.0446851e-12,8.910611e-11,8.906556e-10
171,4XMM J214438.2+381950,326.15920954277,38.330571068185,2.0468051e-10,2.3583407e-12,9.054337e-11,4.1986947e-10
172,4XMM J182546.6-370618,276.4441813492,-37.105250490542,3.048358e-10,6.8252364e-13,9.091475e-11,4.2694842e-10
